field_key,otu_num,seq_abund,otu_ID,phylum,class,order,family,genus,species,primary_lifestyle,field_name,region,field_type,yr_since
20,otu_2895,4,484437b7060e1a9e8a585f2015ef3190,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Circinotrichum,Circinotrichum_maculiforme,NA,MBREM1,BM,remnant,NA
20,otu_2896,4,45b26adafd2df6bfb1e8b912337bf472,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified,soil_saprotroph,MBREM1,BM,remnant,NA
20,otu_3016,3,b9e039ca02bb69d56f1b4a8cb042302f,Ascomycota,NA,NA,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_3017,3,dd339c6d8db54021032954c8d6c5e004,NA,NA,NA,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_3018,3,70936cd718f6720802c6e4d55bbdd02a,Basidiomycota,Microbotryomycetes,Leucosporidiales,unidentified,unidentified,unidentified,NA,MBREM1,BM,remnant,NA
20,otu_3019,3,c1be74decb636610c4c015ad71429f3f,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_3020,3,97cbbbd2b4c96322eae9dc12c563af59,NA,NA,NA,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_3021,3,47ff8e7ac519ecd91fcc9ef1c300a08e,NA,NA,NA,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_3078,2,6fc00dabe547adc1929b4da5a930ab7d,Basidiomycota,Tremellomycetes,unidentified,unidentified,unidentified,unidentified,NA,MBREM1,BM,remnant,NA
20,otu_3122,2,7231c61d3c6fc20764cb620eefa89a69,NA,NA,NA,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_3123,2,2a19ef8e1d56de47fe2beed57133971f,NA,NA,NA,NA,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_3124,2,61df3e2adb3814898a3a3b7651bc2cbf,Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,NA,NA,NA,MBREM1,BM,remnant,NA
20,otu_3125,2,78d7f4c8733787e72b0bee9b19e95f2f,Basidiomycota,Microbotryomycetes,Leucosporidiales,unidentified,unidentified,unidentified,NA,MBREM1,BM,remnant,NA
21,otu_1,4238,352d386293a59777de3e3e6a91f58466,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,plant_pathogen,MBRP1,BM,restored,18
21,otu_2,73,a78342f18e3db5624f3d0d77053d9b2b,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_exigua,soil_saprotroph,MBRP1,BM,restored,18
21,otu_3,19,dabfbac17ada76765b6deb5ab443b740,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Gibellulopsis,NA,plant_pathogen,MBRP1,BM,restored,18
21,otu_4,867,bdee5c3cbce33c88a5e897081e7b68db,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,NA,MBRP1,BM,restored,18
21,otu_5,1037,73514f6e23fa430c512721de0d7376a3,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,NA,MBRP1,BM,restored,18
21,otu_6,473,c92d481c3f8ce88e480eb4d2a2379f8e,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA,NA,MBRP1,BM,restored,18
21,otu_7,951,204f1bd97debac4d9c567a07f3d10090,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,NA,plant_pathogen,MBRP1,BM,restored,18
21,otu_8,2693,0ab6be0adca17efdd24e8e0072b2e128,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,NA,MBRP1,BM,restored,18
