otu_num,phylum,class,order,family,genus,species,primary_lifestyle
otu_1967,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA,NA
otu_1968,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Cotylidia,Cotylidia_undulata,NA
otu_1969,Ascomycota,Dothideomycetes,Capnodiales,unidentified,unidentified,unidentified,NA
otu_1970,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,unidentified,NA
otu_1971,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_acetilerea,mycoparasite
otu_1972,Chytridiomycota,NA,NA,NA,NA,NA,NA
otu_1973,NA,NA,NA,NA,NA,NA,NA
otu_1974,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,unidentified,soil_saprotroph
otu_1975,Basidiomycota,Microbotryomycetes,Kriegeriales,Camptobasidiaceae,Glaciozyma,Glaciozyma_antarctica,unspecified_saprotroph
otu_1976,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,NA,NA
otu_1977,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,NA
otu_1978,Ascomycota,Sordariomycetes,Savoryellales,Savoryellaceae,Savoryella,Savoryella_paucispora,wood_saprotroph
otu_1979,Basidiomycota,Agaricomycetes,Auriculariales,unidentified,unidentified,unidentified,NA
otu_1980,NA,NA,NA,NA,NA,NA,NA
otu_1981,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,NA,NA,NA
otu_1982,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA,NA
otu_1983,Mortierellomycota,NA,NA,NA,NA,NA,NA
otu_1984,NA,NA,NA,NA,NA,NA,NA
otu_1985,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
otu_1986,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,NA,NA,NA
otu_1987,Ascomycota,Dothideomycetes,Capnodiales,Neodevriesiaceae,Neodevriesia,NA,plant_pathogen
otu_1988,Ascomycota,Dothideomycetes,Pleosporales,Tetraplosphaeriaceae,Tetraplosphaeria,Tetraplosphaeria_sasicola,wood_saprotroph
otu_1989,NA,NA,NA,NA,NA,NA,NA
otu_1990,NA,NA,NA,NA,NA,NA,NA
otu_1991,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Dictyosporium,Dictyosporium_elegans,litter_saprotroph
otu_1992,Mortierellomycota,Mortierellomycetes,Mortierellales,unidentified,unidentified,unidentified,NA
otu_1993,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudaleuria,unidentified,soil_saprotroph
otu_1994,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,NA,NA
otu_1995,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia_isomera,dung_saprotroph
otu_1996,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA,NA
otu_1997,NA,NA,NA,NA,NA,NA,NA
otu_1998,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1999,NA,NA,NA,NA,NA,NA,NA
otu_2000,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Seimatosporium,Seimatosporium_hypericinum,NA
otu_2001,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Dinemasporium,Dinemasporium_morbidum,litter_saprotroph
otu_2002,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudombrophila,unidentified,NA
