sv_num,otu_ID,class,order,family,genus,taxon,accession
sv_620,59361a70c367fd4ddc161c81e73f8258,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_621,14b9821e2ebf58779ceab523d0729722,Paraglomeromycetes, Paraglomerales, Paraglomeraceae, Paraglomus,NA,NA
sv_622,6d69915d51f6a993f43577433fd6fda0,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus sp., VTX00177
sv_623,ccaba9fd533ce02fdc81b7af758c3ae3,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_624,a620220611437e5b8a56388ff7a5e606,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Douhan3, VTX00212
sv_625,a354480ab6a46207330031ef17ff8182,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_626,9d74403ea48ab3cff5e3afa1201f953f,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G22, VTX00125
sv_627,bb6dc96df1fb6007af1fb210f335bb82,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_628,6ca4a219e090efde51bcc0600f71a3f6,Glomeromycetes, Diversisporales, Gigasporaceae, Scutellospora, Scutellospora LER04, VTX00318
sv_629,0e5350157818645231cd07c4f188e3c7,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus, Claroideoglomus acnaGlo7, VTX00057
sv_630,5436889eb9ec5ad8999b0cbbb2513d91,Glomeromycetes, Glomerales, Claroideoglomeraceae, Claroideoglomus,NA,NA
sv_631,1ea33fc56e5e03f5a6aafcc422ebdefd,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G8, VTX00130
sv_632,0ad22960c9754fcf5b48f506875f7cad,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus Glo7, VTX00214
sv_633,ddf938a8f5b264547728789ed37d3d3d,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_634,d80eb2d67de27cba579c1bc2bc17b2fe,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_635,141a1b59d9b690289c2cadfa151d2521,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
sv_636,94dc5ba0ac2dce682293f8257afc9bc7,Glomeromycetes, Glomerales, Glomeraceae, Glomus, Glomus MO-G15, VTX00135
sv_637,436bbe4c386bf82a121ecaced5667012,Glomeromycetes, Glomerales, Glomeraceae, Glomus,NA,NA
