otu_num,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,confidence,primary_lifestyle
otu_727,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_728,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Calloria,Calloria_urticae,Dermateaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph,Probable,NA
otu_729,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,unidentified,unidentified,Clavariaceae,9,Saprotroph-Symbiotroph,Lichenized-Undefined Saprotroph,Probable,NA
otu_730,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Probable,NA
otu_731,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Glutinoglossum,Glutinoglossum_heptaseptatum,Glutinoglossum,13,Saprotroph,Undefined Saprotroph,Probable,soil_saprotroph
otu_732,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_733,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,NA,NA,Trichomeriaceae,9,Symbiotroph,Epiphyte,Probable,NA
otu_734,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,Rhizophagus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_735,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,Scytalidium_circinatum,Scytalidium,13,Saprotroph,Wood Saprotroph,Probable,wood_saprotroph
otu_736,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,unidentified,Claroideoglomus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
