otu_num,otu_ID,phylum,class,order,family,genus,species,primary_lifestyle
otu_1550,162850dfca2b225e4266a6109e85d026,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,Dominikia_iranica,arbuscular_mycorrhizal
otu_1551,2074b4476ee81c9e9e1b45020e6e58db,Basidiomycota,Agaricomycetes,Tremellodendropsidales,unidentified,unidentified,unidentified,NA
otu_1552,81fb746b0b1da191b8c5ee0eb43e6daf,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,NA,NA,NA
otu_1553,839dabf6952838c7c5b850d7dc5dcefa,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Dendryphiella,Dendryphiella_eucalyptorum,NA
otu_1554,00a3d93584cd7dd50d740e1d38a83337,Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,unidentified,NA
otu_1555,4551239a1d0780601f8b53f5c9f74371,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_squamosa,wood_saprotroph
otu_1556,794b428de3d67a4eb51e1a45895a1da9,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Stemphylium,NA,plant_pathogen
otu_1557,0d567c5006c4452af2d3aaca623de73a,Glomeromycota,unidentified,unidentified,unidentified,unidentified,unidentified,NA
otu_1558,c303b8e998dc09fcad9f810c2a7ebae7,Glomeromycota,NA,NA,NA,NA,NA,NA
otu_1559,b520a7504dca6c873afadcd694893de9,NA,NA,NA,NA,NA,NA,NA
otu_1560,dfcaa9ab1e7eb0b8c79f5b0428c8ba18,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA,NA
otu_1561,09b967f7978d4fcfc98bfe8372243a83,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,NA,NA,NA
otu_1562,6867a64fcd56f532d13cd298c0b79bf0,Ascomycota,Dothideomycetes,Minutisphaerales,Minutisphaeraceae,Minutisphaera,Minutisphaera_japonica,wood_saprotroph
otu_1563,9747d7ba42b6c8d08a3b18c1df28eebf,Ascomycota,Eurotiomycetes,NA,NA,NA,NA,NA
otu_1564,f36d506e0b4b06a76a53abecfdb9c5f0,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,NA,NA
otu_1565,b4b38cf7636f26d7cd7de50d0282ea3b,Ascomycota,NA,NA,NA,NA,NA,NA
otu_1566,ca44b36bb164482e5b5a7556b7cd5791,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA,NA
otu_1567,13defd3616bb9b3773bbd88d10059bc5,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Helicomyces,Helicomyces_roseus,wood_saprotroph
otu_1568,3d0dee44141c0bb35d6cef1b7189e84a,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,NA
otu_1569,f7f108e1058cf76b5ad79f0c234cb516,Basidiomycota,Agaricomycetes,Cantharellales,Tulasnellaceae,Epulorhiza,unidentified,litter_saprotroph
