#OTU ID	taxonomy	Confidence
b08663e98748dae850f69427fc1b286a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.999983366
b3c1bd085d4e45cf6dc0eac4328013ed	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__unidentified;g__unidentified;s__unidentified	0.999996069
ae6ef88c0bd8cf9cf7f1d4c9b2246b64	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lindgomycetaceae;g__Clohesyomyces;s__Clohesyomyces_aquaticus	0.998653017
1cf3a061a17f1844ca0ffd3e398c16e6	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.996470325
fa4b455fff99bb9a2de198892b073b4d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.97876444
f8d78b64c067bdc7bd34536d5ef4081a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Montagnula;s__Montagnula_scabiosae	0.966445443
47c96a25a62e54635f42fe08c555b224	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.961890654
cfd4a87bf951ff563b942435198d3022	k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.963364081
9b742cfe93f8a2cedcb8b05c88a54b78	k__Fungi;p__Ascomycota	0.967363622
9572f06e674f7f92daf452c93104b0f7	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	0.999999869
4fd3b72dbb2b8928f36215b699666b1f	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora;s__Podospora_austrohemisphaerica	0.999999759
3cb393b181cd448e8304853b26610dea	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium	0.987018757
7ae5916e731159abcf4cd75e7ac61929	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.999998898
169e0a61a17b8b7679ddd374691427df	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.99846606
